Feature,Normalized.Dispersion
ENSG00000142686,-0.6589254978931324
ENSG00000092853,1.6891643311767384
ENSG00000134698,1.4913228217365815
ENSG00000092847,0.7272670188065518
ENSG00000286899,0.9217100779226862
ENSG00000271914,0.7779713027704468
ENSG00000126070,2.1143869112399987
ENSG00000116863,-1.6316758487216105
ENSG00000171812,-1.6970804022161063
ENSG00000054116,-0.6910739047164213
ENSG00000116871,-0.717871397981408
ENSG00000054118,-1.1036545224250456
ENSG00000214193,12.148375572679878
ENSG00000142694,11.108236898031961
ENSG00000286379,NaN
ENSG00000196182,8.754202275114187
ENSG00000181817,-0.5045296482330683
ENSG00000116885,-0.11054076400473253
ENSG00000116898,-2.542922370522385
ENSG00000119535,10.680210073828148
ENSG00000163873,NaN
ENSG00000233621,15.377727103883275
ENSG00000163874,-0.027860586828878507
ENSG00000163875,-1.6591767427205277
ENSG00000163877,-1.0964287069476553
ENSG00000163879,NaN
ENSG00000134697,-1.7419426779707379
ENSG00000169218,NaN
ENSG00000116922,-0.6512594101500009
ENSG00000134690,-0.8810516008473016
ENSG00000185090,2.0130923568976042
ENSG00000233728,NaN
ENSG00000196449,-1.4146641193792222
ENSG00000197982,-0.634196815605116
ENSG00000188786,1.0632207069558226
ENSG00000230955,0.559707879619614
ENSG00000204084,0.9470204157873469
ENSG00000183431,-1.5323258326013593
ENSG00000183386,-0.24677037390289086
ENSG00000183520,-1.3724833518454227
ENSG00000185668,0.5538532071216611
ENSG00000224592,NaN
ENSG00000238063,1.1812545649293569
ENSG00000116954,-1.6011316534297626
ENSG00000228436,-1.2785531463910091
ENSG00000214114,1.0773246248329087
ENSG00000131233,1.3185542997924211
ENSG00000158315,-0.5005560500164122
ENSG00000174574,3.4546764181827214
ENSG00000168653,0.4794657195107673
ENSG00000127603,1.304061563277475
ENSG00000270040,-1.0328911817003867
ENSG00000287422,NaN
ENSG00000183682,0.13984675579688138
ENSG00000090621,-1.1806815913523356
ENSG00000228060,-0.914192999321428
ENSG00000116983,-1.2208006659313908
ENSG00000084072,-1.748112555931416
ENSG00000116985,3.8614645308949775
ENSG00000198754,1.2822038152476398
ENSG00000285905,NaN
ENSG00000261798,-0.3171987848957748
ENSG00000284719,-1.0494056288194633
ENSG00000043514,-0.9837500045178724
ENSG00000116990,0.42618319149081396
ENSG00000236546,NaN
ENSG00000168389,2.4712773059205224
ENSG00000131236,1.600314600044375
ENSG00000131238,2.5676710639039126
ENSG00000117000,-0.422407758664004
ENSG00000259943,0.7990088767247389
ENSG00000084073,-0.14478213681411597
ENSG00000049089,-1.9875887943479298
ENSG00000084070,-0.5690308155858235
ENSG00000187801,-0.6112396595091069
ENSG00000260920,-1.5923360152448578
