Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000069424,KCNAB2,0.2077556495237238,-0.9907984204050473,0.0003443252366986647,0.4981042958583683,1.3603816970224665,0.0000007933286261494014,0.004506623746440509,-4.979966129367974,0.00002709935273284234
ENSG00000116254,CHD5,0.0003287272935501959,-1.2415776743321985,0.6886933343218551,0.0009398194261478648,1.6161526763577196,0.6348139013624643,0,2.618706751384088,1
ENSG00000116251,RPL22,10.132690096391238,0.9452954813830061,0.0013418759948721855,6.337202390515052,-0.5774881356975645,0.10007307116689497,0.11717221740745322,-6.238659938841339,0.000000001555497303138424
ENSG00000158286,RNF207,0.005917091283903526,-1.385967583667374,0.0396149979784896,0.01785656909680943,1.6161526763577205,0.016389621162468785,0.004506623746440509,-0.04425826133834132,1
ENSG00000116237,ICMT,0.021696001374312927,-1.2198826032328798,0.0020513664858624477,0.06108826269961121,1.594457605258401,0.000046419272423132545,0,-2.8407248672532095,0.058635752534987186
ENSG00000158292,GPR153,0.004602182109702742,1.0803504205551642,0.37884258889306643,0.0018796388522957295,-0.7057754185296421,0.6523569254268788,0,0.1162064108549048,1
ENSG00000097021,ACOT7,0.022024728667863123,1.038530244860536,0.12107405965042263,0.008458374835330783,-1.2318442301972299,0.07929813772354147,0.018026494985762035,0.2588108062977055,1
ENSG00000271746,AL031848.2,0.010190546100056073,0.4364942307804389,0.662386119679587,0.008458374835330783,-0.06191922875491773,1,0,-1.153882752512839,0.6152948515148171
ENSG00000069812,HES2,0.003944727522602351,0.8738995430877372,0.4946681167316227,0.0018796388522957295,-0.499324541062216,0.8103340392587726,0,0.2967786564967261,1
ENSG00000187017,ESPN,0.0016436364677509794,0.3433848263889576,0.8816093936318427,0,-1.191202245699884,0.5855561053971737,0.004506623746440509,2.618706751384088,0.5301203126978649
ENSG00000215788,TNFRSF25,0.17751273851710578,4.2529446087734595,0.0000000000000000000001810964563748682,0.009398194261478648,-4.006564746358855,0.000000000000000011794538763893419,0.004506623746440509,-3.902239256465913,0.0009378265605543319
ENSG00000171680,PLEKHG5,0.006903273164554113,3.217853944305099,0.008063878838189162,0,-2.8432789422795777,0.023461859213530466,0,-0.25576236653205253,1
ENSG00000162408,NOL9,0.11801309838452032,1.100528302492794,0.002343736314267052,0.06578735983035053,-0.7259533004672725,0.08983583862401653,0,-4.544523597484216,0.0006580047123935002
ENSG00000173662,TAS1R1,0.0003287272935501959,-0.24157767433219846,1,0,0.6161526763577196,1,0,3.203669252105244,1
ENSG00000204859,ZBTB48,0.02794181995176665,-0.5966726331547605,0.20205752787525347,0.048870610159688965,0.884641512283622,0.04275661937499686,0.009013247492881018,-1.3198927039517683,0.38902953564267134
ENSG00000162413,KLHL21,0.031557820180818805,-0.9084513728399726,0.01870927378214499,0.07142627638723772,1.2830263748654942,0.0005571141971475157,0,-3.2309589755314807,0.020690780411573448
ENSG00000116273,PHF13,0.014464000916208619,0.002347908553890221,1,0.016916749670661566,0.37222709347163097,0.690401502678896,0,-1.773610671394672,0.2861875827824381
ENSG00000041988,THAP3,0.03517382040987096,0.6064192322227511,0.262830763479971,0.026314943932140213,-0.2940506532916336,0.752580594346107,0.004506623746440509,-1.8837935891450952,0.1731656245060651
ENSG00000007923,DNAJC11,0.03780363875827253,0.061814469117735804,1,0.04323169360280178,0.3127605329077854,0.634218579074188,0,-3.1361807507793804,0.027454372922039616
ENSG00000228750,LINC01672,0.0003287272935501959,-0.24157767433219846,1,0,0.6161526763577196,1,0,3.203669252105244,1
ENSG00000284744,AL591163.1,0.004930909403252938,1.1734598249466455,0.38664777262533884,0.0018796388522957295,-0.7988848229211243,0.663378027464684,0,0.03374425066293174,1
ENSG00000237436,CAMTA1-DT,0.002958545641951763,0.08035042055516328,1,0.002819458278443594,0.2942245814703579,1,0,0.503229533964153,1
ENSG00000171735,CAMTA1,0.15647419172989324,-0.5136572197689993,0.13832351106146507,0.23777431481540978,0.6076578821922647,0.0857768775546444,0.1532252073789773,-0.1788003847171682,1
ENSG00000237402,CAMTA1-IT1,0.0006574545871003918,0.3433848263889576,1,0,0.031190175636563566,1,0,2.618706751384088,1
ENSG00000049245,VAMP3,0.09007127843275367,-1.6579261187633894,0.0000000014193648105648129,0.3411544516916749,2.0050062438329093,0.0000000000004633365511493463,0.013519871239321525,-3.113743361659625,0.0033585917045731235
ENSG00000049246,PER3,0.020381092200112146,-0.12227874595985444,0.9730439365273216,0.025375124505992348,0.42350759841532426,0.5546499792949051,0.004506623746440509,-1.28818384422443,0.4674858778134764
ENSG00000236266,Z98884.1,0.0003287272935501959,-0.24157767433219846,1,0,0.6161526763577196,1,0,3.203669252105244,1
ENSG00000049247,UTS2,0.006574545871003918,3.1507397484465614,0.007481557729073881,0,-2.77616474642104,0.035587066851437,0,-0.1886481706735159,1
ENSG00000049249,TNFRSF9,0.010190546100056073,0.29899070703050423,0.8816093936318427,0.009398194261478648,0.07558429499501695,1,0,-1.188648170673516,0.9232995226002042
ENSG00000116288,PARK7,0.9204364219405484,-0.11403195287643357,0.8381740855668833,1.097709089740706,0.29842672882486426,0.44693679742587256,0.5092484833477775,-0.9180005807298466,0.4488497818593405
ENSG00000284747,AL034417.4,0.003287272935501959,0.6328914435839419,0.7626038332186641,0.0018796388522957295,-0.2583164415584207,0.9747772733670996,0,0.503229533964153,1
ENSG00000284716,AL034417.3,0.0006574545871003918,0.3433848263889576,1,0,0.031190175636563566,1,0,2.618706751384088,1
ENSG00000116285,ERRFI1,0.002301091054851371,-0.8265401750533554,0.5799450992484301,0.004699097130739324,1.2011151770788766,0.3959085890860431,0,0.503229533964153,1
ENSG00000162426,SLC45A1,0.0013149091742007835,0.08035042055516328,1,0.0009398194261478648,0.2942245814703579,1,0,1.6187067513840878,1
ENSG00000142599,RERE,0.17784146581065596,-0.035945579543327,1,0.21709828744015677,0.3840212518210038,0.3168507135014309,0.013519871239321525,-3.390655351819603,0.0014302302283719405
ENSG00000232912,RERE-AS1,0.003944727522602351,0.13693394892152977,0.9928147576367922,0.003759277704591459,0.23764105310399053,1,0,0.1162064108549048,1
ENSG00000228423,AL357552.2,0.0003287272935501959,-0.24157767433219846,1,0,0.6161526763577196,1,0,3.203669252105244,1
ENSG00000074800,ENO1,1.0213557010604586,-0.8746243170418128,0.0012624425134699602,2.215154387430517,1.1937918362730175,0.000010643307444001379,0.23434443481490644,-2.484416073890823,0.00433750786076862
ENSG00000230679,ENO1-AS1,0.004930909403252938,2.7584223256678015,0.03636828869190995,0,-2.3838473236422804,0.10499484542414181,0,0.2036692521052439,1
ENSG00000131686,CA6,0.00887563692585529,3.5657772477254053,0.001111405043272185,0,-3.191202245699884,0.00566444311550302,0,-0.6036856699523598,1
ENSG00000142583,SLC2A5,0.0016436364677509794,1.3433848263889576,0.5385830423084585,0,-0.9688098243634364,0.5854029097516947,0,1.6187067513840878,1
ENSG00000180758,GPR157,0.009204364219405485,0.6164033207953734,0.5215363952255814,0.006578735983035053,-0.24182831876985222,0.9472081044481834,0,-0.9662557493370683,0.8274945370101358
ENSG00000228526,MIR34AHG,0.0003287272935501959,-3.563505769219561,0.0010283351680547136,0.008458374835330783,3.9380807712450823,0.0002653763293430505,0,0.7442376334679475,1
ENSG00000234546,LNCTAM34A,0,-3.563505769219562,0.02835403225382984,0.003759277704591459,3.9380807712450823,0.015586225810800037,0,1.8817411572178822,1
ENSG00000049239,H6PD,0.044049457335726246,-1.459382826172995,0.0000030593633697672296,0.14567201105291905,1.8140920539696292,0.000000007878551408923148,0.004506623746440509,-2.97623983790969,0.014463624349589982
ENSG00000171621,SPSB1,0.003944727522602351,-0.12610045691226368,1,0.002819458278443594,-0.29073791925079817,1,0.009013247492881018,1.7886317528264009,0.45272452959499276
ENSG00000171612,SLC25A33,0.06114327660033644,-0.760772404902335,0.02694771050320209,0.12499598367766601,1.1353474069278557,0.0006126700618107899,0,-4.118258842782118,0.0020830260312316917
ENSG00000188807,TMEM201,0.007889455045204701,-0.9196495794448367,0.17343854129785916,0.01785656909680943,1.294224581470358,0.04950987695029083,0,-1.2557623665320525,0.6297130771465476
